corpus_id;document_id;sentence_id;content
Smells Like Teen Spirit;1;0; Load up on guns bring your friends It's fun to lose and to pretend She's over-bored and self-assured Oh no I know a dirty word
Smells Like Teen Spirit;1;1; Hello hello hello how low Hello hello hello how low Hello hello hello how low Hello hello hello
Smells Like Teen Spirit;1;2; With the lights out it's less dangerous Here we are now entertain us I feel stupid and contagious Here we are now entertain us A mulatto an albino A mosquito my libido
Smells Like Teen Spirit;1;3; Yeah hey yay
Smells Like Teen Spirit;1;4; I'm worse at what I do best And for this gift I feel blessed Our little group has always been And always will until the end You might also like Hello hello hello how low Hello hello hello how low Hello hello hello how low Hello hello hello
Smells Like Teen Spirit;1;5; With the lights out it's less dangerous Here we are now entertain us I feel stupid and contagious Here we are now entertain us A mulatto an albino A mosquito my libido
Smells Like Teen Spirit;1;6; Yeah hey yay
Smells Like Teen Spirit;1;8; And I forget just why I taste Oh yeah I guess it makes me smile I found it hard it's hard to find Oh well whatever never mind
Smells Like Teen Spirit;1;9; Hello hello hello how low Hello hello hello how low Hello hello hello how low Hello hello hello
Smells Like Teen Spirit;1;10;With the lights out it's less dangerous Here we are now entertain us I feel stupid and contagious Here we are now entertain us A mulatto an albino A mosquito my libido
Smells Like Teen Spirit;1;11; A denial a denial A denial a denial A denial a denial A denial a denial A denial
