corpus_id;document_id;sentence_id;content
Flowers;1;0; We were good we were gold Kinda dream that can't be sold We were right 'til we weren't Built a home and watched it burn
Flowers;1;1; Mm I didn't wanna leave you I didn't wanna lie Started to cry but then remembered I
Flowers;1;2; I can buy myself flowers Write my name in the sand Talk to myself for hours Say things you don't understand I can take myself dancing And I can hold my own hand Yeah I can love me better than you can
Flowers;1;3; Can love me better I can love me better baby Can love me better I can love me better baby
Flowers;1;4; Paint my nails cherry-red Match the roses that you left No remorse no regret I forgive every word you said
Flowers;1;5; Ooh I didn't wanna leave you baby I didn't wanna fight Started to cry but then remembered I
Flowers;1;6; I can buy myself flowers Write my name in the sand Talk to myself for hours yeah Say things you don't understand I can take myself dancing yeah I can hold my own hand Yeah I can love me better than you can
Flowers;1;7; Can love me better I can love me better baby Can love me better I can love me better baby Can love me better I can love me better baby Can love me better I (Ooh I)
Flowers;1;8; I didn't wanna leave you I didn't wanna fight Started to cry but then remembered I
Flowers;1;9; I can buy myself flowers (Uh-huh) Write my name in the sand Talk to myself for hours (Yeah) Say things you don't understand (You never will) I can take myself dancing yeah I can hold my own hand Yeah I can love me better than Yeah I can love me better than you can
Flowers;1;10; Can love me better I can love me better baby (Uh) Can love me better I can love me better baby (Than you can) Can love me better I can love me better baby Can love me better I
